Seq5;ee=0.0059;size=3768;	CTLA-Avidin19_A
Seq9;ee=0.0099;size=2266;	GFP14_A
Seq4;ee=0.0059;size=5058;	PE36_A
Seq14;ee=0.0059;size=1899;	CTLA-Avidin1_A
Seq2;ee=0.014;size=18062;	Unsorted_L38
Seq3;ee=0.0059;size=12977;	Unsorted_A45
Seq15;ee=0.0059;size=1854;	GFP48_A
Seq7;ee=0.0059;size=2585;	GFP22_A
Seq16;ee=0.042;size=1746;	Unsorted_L11
Seq24;ee=0.0059;size=1079;	GFP20_A
Seq8;ee=0.0059;size=2352;	GFP31_A
Seq10;ee=0.0059;size=2118;	PE30_A
Seq33;ee=0.0059;size=987;	GFP17_A
Seq12;ee=0.0059;size=1954;	GFP11_A
Seq34;ee=0.0059;size=977;	Luciferase9_A
Seq30;ee=0.0059;size=1011;	GFP34_A
Seq18;ee=0.0059;size=1666;	PE50_A
Seq27;ee=0.0059;size=1066;	GFP43_A
Seq26;ee=0.013;size=1069;	Unsorted_L51
Seq37;ee=0.0059;size=899;	GFP8_A
Seq39;ee=0.0059;size=831;	Unsorted_A27
Seq42;ee=0.0059;size=756;	GFP25_A
Seq43;ee=0.012;size=753;	CTLA-Avidin38_A
Seq40;ee=0.0099;size=829;	GFP42_A
Seq49;ee=0.0097;size=694;	PD1-Avidin18_A
Seq50;ee=0.0059;size=693;	PD1-Avidin2_A
Seq54;ee=0.0059;size=647;	GFP3_A
Seq51;ee=0.0059;size=684;	GFP6_A
Seq63;ee=0.0059;size=598;	GFP2_A
Seq70;ee=0.0059;size=579;	Unsorted_A6
Seq65;ee=0.0059;size=593;	GFP45_A
Seq67;ee=0.0062;size=588;	VEGF15_N
Seq68;ee=0.0059;size=586;	GFP39_A
Seq79;ee=0.0059;size=528;	CTLA-Avidin35_A
Seq81;ee=0.038;size=524;	Unsorted_L46
Seq84;ee=0.035;size=516;	PD1-Avidin43_A
Seq93;ee=0.0059;size=495;	Luciferase17_A
Seq91;ee=0.0059;size=501;	PD1-Avidin40_A
Seq123;ee=0.0059;size=390;	CTLA-Avidin7_A
Seq134;ee=0.0059;size=379;	GFP5_A
Seq133;ee=0.013;size=379;	Unsorted_L37
Seq145;ee=0.0094;size=357;	PD1-Avidin44_A
Seq142;ee=0.013;size=365;	Unsorted_L12
Seq149;ee=0.0062;size=345;	VEGF39_N
Seq148;ee=0.0062;size=346;	Luciferase43_N
Seq153;ee=0.014;size=341;	Unsorted_L13
Seq158;ee=0.015;size=329;	Unsorted_E36
Seq161;ee=0.013;size=325;	Unsorted_L42
Seq169;ee=0.013;size=321;	GFP9_A
Seq164;ee=0.0098;size=323;	CTLA-Avidin12_A
Seq172;ee=0.039;size=317;	Unsorted_L71
Seq170;ee=0.0059;size=318;	Unsorted_A37
Seq173;ee=0.019;size=317;	Unsorted_L27
Seq206;ee=0.011;size=281;	Unsorted_H25
Seq196;ee=0.013;size=292;	Unsorted_L63
Seq200;ee=0.0059;size=285;	PE7_A
Seq207;ee=0.011;size=281;	Native_H1
Seq211;ee=0.013;size=277;	Unsorted_L17
Seq221;ee=0.0059;size=268;	PE3_A
Seq223;ee=0.013;size=267;	Unsorted_L22
Seq228;ee=0.012;size=264;	Unsorted_A50
Seq225;ee=0.014;size=267;	Unsorted_L58
Seq229;ee=0.0059;size=264;	Unsorted_A75
Seq232;ee=0.013;size=259;	Unsorted_L2
Seq236;ee=0.0059;size=257;	GFP23_A
Seq233;ee=0.019;size=259;	Unsorted_L39
Seq234;ee=0.0059;size=258;	GFP32_A
Seq237;ee=0.013;size=257;	Unsorted_L28
Seq240;ee=0.0059;size=252;	PD1-Avidin12_A
Seq242;ee=0.014;size=250;	Unsorted_L20
Seq246;ee=0.014;size=248;	Unsorted_L36
Seq247;ee=0.011;size=248;	Luciferase5_N
Seq252;ee=0.013;size=246;	Unsorted_L61
Seq251;ee=0.0059;size=246;	Unsorted_A52
Seq265;ee=0.013;size=232;	Native_L1
Seq281;ee=0.0059;size=220;	PD1-Avidin29_A
Seq286;ee=0.0059;size=219;	Unsorted_A13
Seq290;ee=0.011;size=218;	Unsorted_N29
Seq288;ee=0.015;size=218;	PE44_O
Seq293;ee=0.017;size=217;	Unsorted_J29
Seq303;ee=0.0059;size=212;	PE38_A
Seq317;ee=0.0059;size=203;	Unsorted_A53
Seq326;ee=0.0059;size=196;	GFP18_A
Seq329;ee=0.0059;size=194;	GFP47_A
Seq341;ee=0.017;size=189;	Unsorted_I5
Seq337;ee=0.0059;size=190;	Unsorted_A64
Seq340;ee=0.0062;size=190;	Unsorted_N1
Seq344;ee=0.0059;size=187;	Native_A1
Seq353;ee=0.0062;size=183;	Unsorted_N54
Seq361;ee=0.0059;size=181;	PD1-Avidin20_A
Seq366;ee=0.0059;size=180;	Unsorted_A23
Seq372;ee=0.013;size=179;	Unsorted_L60
Seq388;ee=0.0059;size=173;	Unsorted_A29
Seq400;ee=0.01;size=169;	PD1-Avidin49_A
Seq418;ee=0.0059;size=166;	Unsorted_A71
Seq441;ee=0.014;size=159;	Unsorted_L26
Seq461;ee=0.016;size=154;	Unsorted_B31
Seq463;ee=0.022;size=152;	Unsorted_E18
Seq462;ee=0.0059;size=154;	Unsorted_A70
Seq472;ee=0.0062;size=150;	CTLA-Avidin9_N
Seq482;ee=0.0059;size=148;	GFP44_A
Seq515;ee=0.011;size=141;	PE9_N
Seq523;ee=0.0059;size=140;	Unsorted_A73
Seq533;ee=0.81;size=139;	Unsorted_A9
Seq544;ee=0.0062;size=137;	Luciferase23_N
Seq566;ee=0.0059;size=133;	PD1-Avidin39_A
Seq572;ee=0.013;size=132;	Unsorted_L9
Seq590;ee=0.0059;size=129;	Unsorted_A12
