Seq7;ee=0.0059;size=3642;	PE36_A
Seq6;ee=0.0097;size=3989;	CTLA-Avidin19_A
Seq5;ee=0.0059;size=4690;	PE50_A
Seq14;ee=0.01;size=2249;	GFP11_A
Seq3;ee=0.0059;size=16675;	Unsorted_A36
Seq17;ee=0.0059;size=2083;	CTLA-Avidin1_A
Seq4;ee=0.0059;size=9838;	Unsorted_A45
Seq21;ee=0.014;size=1750;	Unsorted_L51
Seq22;ee=0.0059;size=1578;	PD1-Avidin21_A
Seq23;ee=0.0059;size=1538;	GFP48_A
Seq24;ee=0.014;size=1516;	Unsorted_L17
Seq27;ee=0.0059;size=1322;	GFP20_A
Seq30;ee=0.0059;size=1259;	GFP43_A
Seq34;ee=0.0059;size=1134;	GFP26_A
Seq38;ee=0.0098;size=1090;	GFP34_A
Seq39;ee=0.0069;size=1068;	PE3_A
Seq44;ee=0.037;size=983;	Unsorted_P5
Seq45;ee=0.0098;size=979;	GFP3_A
Seq46;ee=0.011;size=975;	Unsorted_P30
Seq12;ee=0.017;size=2493;	Unsorted_J8
Seq47;ee=0.013;size=962;	Unsorted_L37
Seq9;ee=0.014;size=2993;	Unsorted_L13
Seq16;ee=0.014;size=2185;	Unsorted_L11
Seq10;ee=0.011;size=2706;	GFP31_A
Seq18;ee=0.0059;size=2025;	GFP22_A
Seq11;ee=0.0059;size=2565;	PE30_A
Seq49;ee=0.0059;size=924;	GFP8_A
Seq53;ee=0.0059;size=906;	Unsorted_A35
Seq55;ee=0.0059;size=842;	Luciferase17_A
Seq48;ee=0.0059;size=947;	GFP16_A
Seq19;ee=0.0059;size=1935;	GFP14_A
Seq52;ee=0.0059;size=907;	GFP17_A
Seq57;ee=0.011;size=803;	Unsorted_P70
Seq60;ee=0.019;size=781;	Unsorted_L12
Seq64;ee=0.0059;size=759;	PD1-Avidin18_A
Seq66;ee=0.099;size=752;	GFP2_A
Seq67;ee=0.0059;size=741;	CTLA-Avidin38_A
Seq68;ee=0.046;size=741;	PE38_A
Seq71;ee=0.0059;size=720;	Unsorted_A28
Seq69;ee=0.0059;size=740;	Luciferase9_A
Seq76;ee=0.011;size=689;	GFP6_A
Seq70;ee=0.0059;size=728;	GFP25_A
Seq80;ee=0.0059;size=668;	Unsorted_A27
Seq82;ee=0.017;size=640;	Unsorted_J49
Seq85;ee=0.01;size=634;	PD1-Avidin2_A
Seq84;ee=0.011;size=638;	Unsorted_P28
Seq87;ee=0.0098;size=631;	GFP42_A
Seq97;ee=0.0059;size=560;	CTLA-Avidin35_A
Seq111;ee=0.018;size=532;	Unsorted_L46
Seq106;ee=0.012;size=546;	Unsorted_P74
Seq113;ee=0.0096;size=527;	Unsorted_A32
Seq119;ee=0.0059;size=497;	PD1-Avidin44_A
Seq120;ee=0.0062;size=494;	VEGF15_N
Seq124;ee=0.011;size=491;	GFP45_A
Seq129;ee=0.0059;size=471;	PD1-Avidin43_A
Seq134;ee=0.0059;size=454;	Unsorted_A6
Seq133;ee=0.0059;size=455;	GFP39_A
Seq131;ee=0.017;size=459;	Unsorted_J64
Seq137;ee=0.014;size=442;	Unsorted_L42
Seq141;ee=0.0059;size=422;	Unsorted_A47
Seq145;ee=0.018;size=417;	Unsorted_J21
Seq148;ee=0.013;size=408;	Unsorted_L61
Seq149;ee=0.017;size=404;	Unsorted_J19
Seq152;ee=0.011;size=403;	Unsorted_P6
Seq160;ee=0.012;size=388;	Unsorted_P65
Seq175;ee=0.0062;size=366;	Luciferase43_N
Seq174;ee=0.018;size=367;	Unsorted_J45
Seq177;ee=0.0059;size=363;	PD1-Avidin40_A
Seq180;ee=0.0059;size=359;	CTLA-Avidin7_A
Seq194;ee=0.05;size=334;	PD1-Avidin20_A
Seq193;ee=0.0059;size=334;	GFP5_A
Seq195;ee=0.012;size=331;	Unsorted_P39
Seq198;ee=0.012;size=328;	Unsorted_P26
Seq202;ee=0.013;size=324;	Unsorted_L71
Seq205;ee=0.44;size=321;	Unsorted_E36
Seq204;ee=0.0093;size=322;	GFP9_A
Seq211;ee=0.017;size=312;	Unsorted_E31
Seq209;ee=0.017;size=314;	Unsorted_J1
Seq217;ee=0.012;size=300;	Unsorted_P48
Seq229;ee=0.0062;size=283;	VEGF39_N
Seq231;ee=0.017;size=281;	Unsorted_J43
Seq224;ee=0.013;size=286;	Unsorted_L58
Seq235;ee=0.021;size=274;	Unsorted_B31
Seq240;ee=0.0059;size=271;	CTLA-Tris-Carb50_A
Seq255;ee=0.0059;size=253;	CTLA-Avidin24_A
Seq249;ee=0.012;size=263;	Unsorted_P35
Seq261;ee=0.014;size=251;	PE44_O
Seq253;ee=0.011;size=258;	Unsorted_H25
Seq256;ee=0.013;size=253;	Unsorted_L63
Seq257;ee=0.018;size=252;	Unsorted_J12
Seq264;ee=0.013;size=249;	Unsorted_L26
Seq266;ee=0.018;size=247;	Unsorted_L27
Seq269;ee=0.0059;size=244;	CTLA-Avidin12_A
Seq275;ee=0.0097;size=240;	PD1-Avidin29_A
Seq274;ee=0.009;size=240;	Unsorted_A37
Seq277;ee=0.017;size=237;	Unsorted_J36
Seq292;ee=0.013;size=232;	Unsorted_L22
Seq301;ee=0.013;size=228;	Unsorted_L49
Seq302;ee=0.014;size=228;	Native_L1
Seq305;ee=0.013;size=226;	Unsorted_L2
Seq319;ee=0.015;size=219;	Unsorted_E18
Seq332;ee=0.0059;size=212;	PE7_A
Seq347;ee=0.0062;size=205;	Luciferase5_N
Seq351;ee=0.0059;size=204;	GFP23_A
Seq359;ee=0.0059;size=202;	Unsorted_A64
Seq361;ee=0.016;size=202;	PD1-Avidin46_A
Seq376;ee=0.017;size=196;	Unsorted_J22
Seq375;ee=0.01;size=196;	GFP47_A
Seq389;ee=0.0059;size=191;	Unsorted_A34
Seq402;ee=0.0059;size=186;	Unsorted_A52
Seq403;ee=0.015;size=185;	Unsorted_L39
Seq404;ee=0.012;size=184;	Luciferase22_A
Seq408;ee=0.0059;size=183;	Unsorted_A75
Seq414;ee=0.014;size=180;	Unsorted_L28
Seq444;ee=0.014;size=171;	Unsorted_L20
Seq450;ee=0.0059;size=170;	Unsorted_A53
Seq457;ee=0.0059;size=168;	Unsorted_A9
Seq471;ee=0.013;size=166;	Unsorted_L60
Seq474;ee=0.0059;size=165;	PD1-Avidin12_A
Seq486;ee=0.017;size=164;	Unsorted_I5
Seq501;ee=0.013;size=159;	Unsorted_L52
Seq515;ee=0.0059;size=156;	Native_A1
Seq514;ee=0.014;size=156;	Unsorted_L50
Seq525;ee=0.0059;size=153;	GFP32_A
Seq522;ee=0.0059;size=155;	GFP18_A
Seq524;ee=0.013;size=154;	Unsorted_L9
Seq535;ee=0.0059;size=151;	Unsorted_A12
Seq540;ee=0.53;size=149;	Unsorted_J29
Seq539;ee=0.012;size=150;	Unsorted_P58
Seq543;ee=0.0059;size=149;	PD1-Avidin4_A
Seq549;ee=0.0062;size=147;	Unsorted_N29
Seq566;ee=0.0059;size=145;	Unsorted_A29
Seq572;ee=0.0059;size=142;	GFP44_A
Seq584;ee=0.014;size=140;	Unsorted_L1
Seq590;ee=0.012;size=138;	Native_H1
Seq598;ee=0.018;size=137;	Unsorted_J42
Seq627;ee=0.018;size=131;	Unsorted_L74
Seq638;ee=0.0059;size=129;	Unsorted_A23
Seq643;ee=0.017;size=128;	Unsorted_J40
Seq652;ee=0.0059;size=127;	Unsorted_A50
Seq650;ee=0.0059;size=128;	Unsorted_A59
Seq683;ee=0.0059;size=123;	Unsorted_A39
Seq684;ee=0.011;size=123;	Unsorted_A68
Seq693;ee=0.013;size=122;	Unsorted_L14
Seq703;ee=0.0095;size=120;	GFP33_A
Seq712;ee=0.0062;size=119;	VEGF21_N
Seq723;ee=0.0068;size=118;	GFP36_A
Seq738;ee=0.01;size=116;	Unsorted_A13
Seq756;ee=0.014;size=114;	PE48_O
Seq774;ee=0.0059;size=111;	PD1-Avidin49_A
Seq762;ee=0.0059;size=113;	Unsorted_A73
Seq768;ee=0.013;size=112;	Unsorted_L24
Seq777;ee=0.0059;size=111;	Unsorted_A57
Seq778;ee=0.0059;size=111;	Unsorted_A71
Seq790;ee=0.018;size=109;	Unsorted_J4
Seq804;ee=0.015;size=108;	Unsorted_E34
Seq801;ee=0.0062;size=108;	CTLA-Avidin9_N
Seq828;ee=0.0059;size=105;	GFP27_A
Seq835;ee=0.011;size=104;	CTLA-Avidin3_N
Seq853;ee=0.022;size=102;	Unsorted_F31
Seq850;ee=0.015;size=103;	Unsorted_E48
Seq856;ee=0.0062;size=102;	PE9_N
Seq892;ee=0.017;size=98;	Unsorted_N1
Seq891;ee=0.013;size=98;	Unsorted_L3
Seq889;ee=0.018;size=98;	Unsorted_I17
Seq931;ee=0.0095;size=96;	GFP28_A
Seq960;ee=0.015;size=94;	Unsorted_L36
Seq967;ee=0.017;size=93;	Unsorted_J68
Seq992;ee=0.0059;size=90;	CTLA-Avidin46_A
Seq985;ee=0.017;size=91;	Unsorted_J74
Seq1004;ee=0.0059;size=89;	PD1-Avidin39_A
Seq1002;ee=0.0062;size=90;	Native_N1
Seq1016;ee=0.0059;size=89;	Unsorted_A44
Seq1028;ee=0.0059;size=87;	GFP40_A
Seq1044;ee=0.013;size=86;	Unsorted_L48
Seq1077;ee=0.0059;size=84;	PD1-Avidin8_A
Seq1107;ee=0.0062;size=82;	Unsorted_N54
Seq1104;ee=0.011;size=82;	CTLA-Avidin4_H
Seq1130;ee=0.017;size=80;	Unsorted_J72
Seq1133;ee=0.023;size=80;	Unsorted_C13
Seq1169;ee=0.022;size=78;	Unsorted_C73
Seq1165;ee=0.0059;size=79;	Unsorted_A58
Seq1327;ee=0.0059;size=69;	Luciferase50_A
Seq1333;ee=0.017;size=69;	Unsorted_F19
Seq1346;ee=0.0095;size=68;	GFP4_A
Seq1391;ee=0.013;size=67;	Unsorted_L75
Seq1404;ee=0.0062;size=67;	VEGF24_N
Seq1398;ee=0.017;size=67;	Unsorted_J71
Seq1422;ee=0.017;size=66;	Unsorted_J23
Seq1429;ee=0.0059;size=66;	CTLA-Avidin43_A
Seq1437;ee=0.011;size=65;	Unsorted_P53
Seq1435;ee=0.016;size=65;	Unsorted_P18
Seq1487;ee=0.0059;size=63;	Unsorted_A8
Seq2;ee=0.013;size=18799;	Unsorted_L38
Seq1538;ee=0.0059;size=61;	CTLA-Avidin25_A
Seq1562;ee=0.0059;size=60;	Unsorted_A49
Seq1571;ee=0.017;size=60;	Unsorted_F30
Seq1591;ee=0.0059;size=59;	PE25_A
Seq1620;ee=0.012;size=58;	Unsorted_P75
Seq1622;ee=0.019;size=58;	Unsorted_E66
Seq1641;ee=0.018;size=58;	Unsorted_L5
Seq1646;ee=0.015;size=58;	VEGF8_E
Seq1650;ee=0.013;size=57;	Unsorted_L34
Seq1653;ee=0.014;size=57;	Unsorted_L65
Seq1691;ee=0.015;size=56;	Unsorted_L25
Seq1703;ee=0.012;size=56;	Unsorted_P9
Seq1713;ee=0.017;size=56;	Unsorted_P14
Seq1732;ee=0.0059;size=55;	Unsorted_A72
Seq1733;ee=0.012;size=55;	Unsorted_P24
Seq1740;ee=0.0059;size=55;	Unsorted_A62
Seq1749;ee=0.0059;size=55;	GFP37_A
Seq1761;ee=0.016;size=54;	Unsorted_B60
Seq1788;ee=0.0059;size=54;	GFP46_A
Seq1813;ee=0.0096;size=53;	Unsorted_A43
Seq1830;ee=0.017;size=53;	Unsorted_J48
Seq1858;ee=0.018;size=52;	Unsorted_J10
Seq1862;ee=0.0059;size=52;	CTLA-Avidin47_A
Seq1902;ee=0.0059;size=51;	PD1-Avidin41_A
Seq1932;ee=0.017;size=50;	Unsorted_I72
Seq1970;ee=0.0059;size=49;	Unsorted_A2
Seq1974;ee=0.0059;size=49;	GFP15_A
Seq2010;ee=0.27;size=48;	Native_F1
Seq2018;ee=0.017;size=48;	Unsorted_F17
Seq2016;ee=0.0062;size=48;	Unsorted_N18
Seq2022;ee=0.015;size=48;	Unsorted_E54
Seq2031;ee=0.21;size=48;	CTLA-Avidin50_A
Seq2045;ee=0.0059;size=47;	Unsorted_A38
Seq2050;ee=0.015;size=47;	PD1-Avidin11_E
Seq2049;ee=0.015;size=47;	Unsorted_E56
Seq2055;ee=0.013;size=47;	Unsorted_L7
Seq2075;ee=0.017;size=47;	Unsorted_J65
Seq2113;ee=0.016;size=46;	Native_B1
Seq2123;ee=0.0059;size=46;	Unsorted_A51
Seq2158;ee=0.0062;size=45;	Unsorted_N40
Seq2165;ee=0.015;size=45;	Unsorted_E35
Seq2179;ee=0.02;size=45;	Unsorted_G15
