Seq3;ee=0.0059;size=114296;	GFP25_A
Seq5;ee=0.0059;size=91057;	GFP6_A
Seq11;ee=0.0059;size=41432;	GFP32_A
Seq1;ee=0.0059;size=292541;	Unsorted_A75
Seq13;ee=0.0059;size=34878;	Unsorted_A14
Seq12;ee=0.0059;size=40392;	Native_A1
Seq2;ee=0.0059;size=257963;	GFP11_A
Seq10;ee=0.0059;size=58562;	Unsorted_A13
Seq4;ee=0.0059;size=95153;	Unsorted_A73
Seq9;ee=0.0059;size=69688;	GFP39_A
Seq19;ee=0.012;size=18582;	Native_H1
Seq15;ee=0.0059;size=32882;	Unsorted_A57
Seq14;ee=0.0059;size=34847;	GFP14_A
Seq17;ee=0.0059;size=22821;	Unsorted_A37
Seq7;ee=0.009;size=79226;	GFP34_A
Seq8;ee=0.0059;size=70918;	Unsorted_A59
Seq20;ee=0.0059;size=15589;	CTLA-Avidin50_A
Seq21;ee=0.011;size=15521;	Native_P1
Seq16;ee=0.0062;size=32876;	Native_N1
Seq25;ee=0.018;size=12457;	Unsorted_F19
Seq22;ee=0.0059;size=15054;	Unsorted_A21
Seq24;ee=0.0059;size=12551;	Unsorted_A19
Seq18;ee=0.0059;size=22338;	Unsorted_A65
Seq27;ee=0.0059;size=11820;	Unsorted_A72
Seq28;ee=0.015;size=11526;	Native_E1
Seq29;ee=0.0059;size=10521;	Unsorted_A26
Seq30;ee=0.0059;size=10489;	Unsorted_A54
Seq32;ee=0.0059;size=8982;	Unsorted_A33
Seq33;ee=0.0059;size=8776;	Unsorted_A17
Seq36;ee=0.0059;size=8512;	GFP4_A
Seq34;ee=0.0059;size=8769;	Unsorted_A24
Seq39;ee=0.0059;size=7367;	Unsorted_A22
Seq35;ee=0.019;size=8751;	Unsorted_E57
Seq42;ee=0.018;size=6565;	Unsorted_F40
Seq43;ee=0.0059;size=6403;	CTLA-Avidin35_A
Seq47;ee=0.0059;size=5369;	CTLA-Avidin24_A
Seq53;ee=0.0059;size=4030;	GFP38_A
Seq57;ee=0.0059;size=3819;	PE10_A
Seq54;ee=0.2;size=3944;	Unsorted_E15
Seq72;ee=0.017;size=3006;	Unsorted_F27
Seq79;ee=0.015;size=2929;	Unsorted_E21
Seq86;ee=0.017;size=2694;	Unsorted_I52
Seq87;ee=0.0059;size=2668;	PE49_A
Seq94;ee=0.0062;size=2285;	Unsorted_N3
Seq97;ee=0.0059;size=2096;	GFP22_A
Seq103;ee=0.0059;size=1970;	Unsorted_A71
Seq100;ee=0.017;size=2002;	Unsorted_I23
Seq106;ee=0.0059;size=1946;	Unsorted_A39
Seq111;ee=0.042;size=1845;	Unsorted_F1
Seq115;ee=0.0059;size=1802;	GFP31_A
Seq114;ee=0.0063;size=1803;	CTLA-Avidin19_A
Seq121;ee=0.015;size=1691;	Unsorted_E39
Seq122;ee=0.019;size=1668;	Unsorted_F4
Seq126;ee=0.0059;size=1636;	Luciferase22_A
Seq129;ee=0.017;size=1568;	Unsorted_F57
Seq131;ee=0.0059;size=1533;	Unsorted_A27
