Seq3;ee=0.014;size=2695;	Unsorted_L51
Seq16;ee=0.017;size=260;	Unsorted_L2
Seq21;ee=0.0059;size=208;	GFP31_A
Seq25;ee=0.0059;size=180;	Unsorted_A6
Seq27;ee=0.0059;size=164;	Unsorted_A50
Seq29;ee=0.011;size=161;	GFP11_A
Seq30;ee=0.015;size=154;	Unsorted_E31
Seq32;ee=0.069;size=152;	Unsorted_B31
Seq34;ee=0.011;size=136;	Unsorted_H29
Seq35;ee=0.014;size=127;	Unsorted_D21
Seq36;ee=0.01;size=116;	GFP48_A
Seq40;ee=0.0059;size=101;	PE3_A
Seq41;ee=0.013;size=99;	Unsorted_L37
Seq45;ee=0.0059;size=89;	GFP8_A
Seq46;ee=0.013;size=86;	Unsorted_L12
Seq47;ee=0.0059;size=85;	CTLA-Avidin19_A
Seq48;ee=0.013;size=85;	Unsorted_L75
Seq49;ee=0.0059;size=81;	PE30_A
Seq50;ee=0.0059;size=80;	GFP22_A
Seq54;ee=0.0059;size=73;	GFP14_A
Seq56;ee=0.015;size=72;	Unsorted_E34
Seq57;ee=0.0059;size=69;	GFP20_A
Seq58;ee=0.0059;size=66;	GFP39_A
Seq59;ee=0.015;size=65;	CTLA-Tris-Carb16_O
Seq62;ee=0.013;size=65;	Unsorted_L49
Seq64;ee=0.0059;size=60;	GFP3_A
Seq68;ee=0.0059;size=58;	Unsorted_A36
Seq69;ee=0.013;size=58;	Unsorted_L26
Seq71;ee=0.0059;size=56;	GFP15_A
Seq72;ee=0.013;size=56;	Unsorted_L56
Seq10;ee=0.013;size=533;	Unsorted_L17
Seq73;ee=0.013;size=56;	Unsorted_L71
Seq2;ee=0.017;size=4154;	Unsorted_L11
Seq9;ee=0.013;size=542;	Unsorted_L13
Seq4;ee=0.0059;size=1759;	PE36_A
Seq15;ee=0.014;size=377;	Unsorted_L42
Seq12;ee=0.013;size=460;	Unsorted_L38
Seq5;ee=0.0059;size=1198;	Unsorted_A45
Seq85;ee=0.0059;size=47;	Unsorted_A27
Seq82;ee=0.0059;size=50;	GFP34_A
Seq6;ee=0.014;size=861;	Unsorted_L61
Seq87;ee=0.0059;size=45;	GFP43_A
Seq81;ee=0.018;size=50;	Native_L1
Seq89;ee=0.0059;size=45;	PD1-Avidin21_A
Seq92;ee=0.0059;size=44;	Luciferase17_A
Seq94;ee=0.0098;size=41;	CTLA-Avidin1_A
Seq96;ee=0.0059;size=41;	GFP45_A
Seq103;ee=0.0059;size=35;	PD1-Avidin44_A
Seq99;ee=0.0059;size=40;	PD1-Avidin43_A
Seq104;ee=0.013;size=35;	Unsorted_L36
Seq108;ee=0.0062;size=34;	Unsorted_N73
Seq109;ee=0.0059;size=34;	Unsorted_A75
Seq125;ee=0.015;size=31;	Unsorted_D42
Seq131;ee=0.013;size=29;	Unsorted_L20
Seq123;ee=0.013;size=31;	Unsorted_L39
Seq138;ee=0.017;size=28;	Unsorted_J22
Seq136;ee=0.013;size=29;	Unsorted_L50
Seq140;ee=0.0059;size=28;	GFP28_A
Seq145;ee=0.053;size=27;	Unsorted_L28
Seq144;ee=0.014;size=27;	Unsorted_L46
Seq146;ee=0.0059;size=27;	Luciferase9_A
Seq153;ee=0.0062;size=26;	Unsorted_N29
Seq158;ee=0.02;size=25;	Unsorted_G47
Seq162;ee=0.0059;size=24;	Unsorted_A47
Seq161;ee=0.046;size=24;	GFP6_A
Seq159;ee=0.012;size=24;	GFP17_A
Seq167;ee=0.014;size=24;	Unsorted_L63
Seq177;ee=0.013;size=23;	Unsorted_L27
Seq178;ee=0.0062;size=23;	Unsorted_A35
Seq186;ee=0.0062;size=22;	VEGF39_N
Seq187;ee=0.0059;size=22;	PE38_A
Seq204;ee=0.0059;size=20;	Unsorted_A37
Seq220;ee=0.0059;size=19;	Unsorted_A32
