Seq3;ee=0.012;size=30755;	Unsorted_P5
Seq6;ee=0.0059;size=16224;	Unsorted_A32
Seq9;ee=0.0059;size=10627;	PE3_A
Seq10;ee=0.0059;size=9856;	PE38_A
Seq14;ee=0.017;size=5966;	Unsorted_J12
Seq11;ee=0.013;size=9056;	Unsorted_L51
Seq15;ee=0.0059;size=5854;	Unsorted_A35
Seq16;ee=0.0059;size=5799;	Unsorted_A45
Seq4;ee=0.0059;size=29674;	Unsorted_A47
Seq2;ee=0.0059;size=85083;	PE50_A
Seq20;ee=0.06;size=5241;	Unsorted_J64
Seq19;ee=0.017;size=5463;	Unsorted_J8
Seq18;ee=0.0059;size=5665;	CTLA-Tris-Carb50_A
Seq13;ee=0.014;size=7092;	Unsorted_L17
Seq12;ee=0.013;size=8053;	Unsorted_L11
Seq21;ee=0.013;size=5020;	Unsorted_L37
Seq22;ee=0.0059;size=4933;	PE36_A
Seq5;ee=0.0059;size=24562;	Unsorted_A36
Seq24;ee=0.0059;size=3653;	Unsorted_A58
Seq23;ee=0.017;size=3876;	Unsorted_J1
Seq27;ee=0.017;size=3110;	Unsorted_J19
Seq28;ee=0.013;size=3053;	Unsorted_L12
Seq25;ee=0.17;size=3388;	Unsorted_J43
Seq17;ee=0.0059;size=5797;	Unsorted_A68
Seq26;ee=0.074;size=3219;	Unsorted_J45
Seq29;ee=0.012;size=2997;	Unsorted_P39
Seq31;ee=0.012;size=2749;	Unsorted_P48
Seq30;ee=0.012;size=2895;	Unsorted_P65
Seq32;ee=0.0059;size=2656;	Unsorted_A6
Seq33;ee=0.012;size=2629;	Unsorted_P35
Seq34;ee=0.012;size=2615;	Unsorted_P26
Seq36;ee=0.043;size=2163;	Unsorted_J21
Seq7;ee=0.013;size=13698;	Unsorted_L13
Seq42;ee=0.018;size=1521;	Unsorted_B31
Seq37;ee=0.0059;size=2009;	Unsorted_A28
Seq38;ee=0.013;size=1939;	Unsorted_L61
Seq43;ee=0.0059;size=1482;	GFP36_A
Seq41;ee=0.021;size=1570;	Unsorted_J42
Seq40;ee=0.012;size=1646;	Unsorted_P28
Seq44;ee=0.012;size=1425;	Unsorted_P30
Seq39;ee=0.012;size=1698;	Unsorted_P70
Seq46;ee=0.018;size=1392;	Unsorted_J68
Seq35;ee=0.0059;size=2337;	GFP16_A
Seq49;ee=0.0059;size=1314;	Unsorted_A64
Seq50;ee=0.013;size=1314;	Unsorted_L38
Seq48;ee=0.012;size=1361;	Unsorted_P74
Seq51;ee=0.059;size=1232;	Unsorted_E34
Seq53;ee=0.095;size=1181;	Unsorted_P14
Seq52;ee=0.013;size=1224;	Unsorted_L63
Seq56;ee=0.017;size=1117;	Unsorted_J36
Seq54;ee=0.0059;size=1157;	GFP43_A
Seq55;ee=0.0059;size=1138;	Unsorted_A9
Seq57;ee=0.012;size=1042;	Unsorted_P10
Seq60;ee=0.013;size=946;	Unsorted_L42
Seq62;ee=0.0059;size=927;	Unsorted_A34
Seq65;ee=0.0059;size=889;	PD1-Avidin20_A
Seq67;ee=0.017;size=865;	Unsorted_J40
Seq70;ee=0.0059;size=852;	Unsorted_A7
Seq64;ee=0.25;size=891;	Unsorted_L24
Seq69;ee=0.013;size=858;	Unsorted_P58
Seq66;ee=0.017;size=875;	Unsorted_J74
Seq68;ee=0.0062;size=864;	Unsorted_N1
Seq71;ee=0.011;size=775;	Unsorted_P52
Seq72;ee=0.24;size=768;	Unsorted_E31
Seq74;ee=0.22;size=695;	Unsorted_L2
Seq73;ee=0.0059;size=717;	GFP31_A
Seq78;ee=0.017;size=634;	Unsorted_J4
Seq76;ee=0.017;size=660;	Unsorted_J67
Seq75;ee=0.021;size=681;	Unsorted_J72
Seq79;ee=0.012;size=627;	Unsorted_P24
Seq81;ee=0.0059;size=621;	GFP11_A
Seq80;ee=0.0059;size=624;	PD1-Avidin32_A
Seq84;ee=0.16;size=604;	Unsorted_L3
Seq85;ee=0.12;size=603;	Unsorted_J10
Seq90;ee=0.012;size=545;	Unsorted_P6
Seq89;ee=0.013;size=557;	Unsorted_L49
Seq87;ee=0.013;size=601;	Unsorted_L50
Seq91;ee=0.0097;size=535;	PD1-Avidin18_A
Seq93;ee=0.013;size=528;	Unsorted_P62
Seq92;ee=0.0099;size=529;	GFP3_A
Seq95;ee=0.012;size=515;	Unsorted_P53
Seq97;ee=0.043;size=478;	Unsorted_L52
Seq98;ee=0.0059;size=475;	GFP26_A
Seq96;ee=0.017;size=502;	Unsorted_J71
Seq99;ee=0.012;size=464;	Unsorted_P31
Seq101;ee=0.017;size=432;	Unsorted_J44
Seq100;ee=0.017;size=434;	Unsorted_J28
Seq104;ee=0.0095;size=417;	CTLA-Avidin19_A
Seq102;ee=0.0059;size=432;	GFP41_A
Seq103;ee=0.018;size=425;	Unsorted_J48
Seq105;ee=0.0059;size=413;	CTLA-Avidin1_A
Seq106;ee=0.018;size=401;	Unsorted_J6
Seq108;ee=0.0059;size=390;	GFP49_A
Seq110;ee=0.0059;size=370;	GFP14_A
Seq113;ee=0.0059;size=344;	Unsorted_A50
Seq109;ee=0.0059;size=386;	GFP8_A
Seq111;ee=0.044;size=362;	Unsorted_J7
Seq112;ee=0.017;size=358;	Native_J1
Seq117;ee=0.014;size=331;	Unsorted_O22
Seq120;ee=0.017;size=315;	Unsorted_J65
Seq119;ee=0.0059;size=322;	PE30_A
Seq118;ee=0.022;size=323;	Unsorted_L20
Seq121;ee=0.012;size=313;	Unsorted_P15
Seq125;ee=0.014;size=293;	Unsorted_D21
Seq128;ee=0.0059;size=291;	GFP48_A
Seq132;ee=0.013;size=281;	Unsorted_L28
Seq134;ee=0.042;size=275;	Unsorted_J20
Seq136;ee=0.0059;size=269;	Unsorted_A8
Seq129;ee=0.015;size=291;	Unsorted_E18
Seq139;ee=0.012;size=267;	Unsorted_P4
Seq137;ee=0.0059;size=269;	GFP39_A
Seq138;ee=0.013;size=269;	Unsorted_L60
Seq140;ee=0.013;size=265;	Unsorted_L56
Seq144;ee=0.017;size=253;	Unsorted_J47
Seq146;ee=0.012;size=252;	Unsorted_P69
Seq151;ee=0.0059;size=244;	GFP22_A
Seq149;ee=0.015;size=246;	Unsorted_E36
Seq155;ee=0.013;size=236;	Unsorted_P37
Seq163;ee=0.0062;size=220;	Luciferase43_N
Seq158;ee=0.0064;size=230;	GFP34_A
Seq165;ee=0.0059;size=217;	Unsorted_A38
Seq168;ee=0.019;size=213;	Unsorted_J51
Seq170;ee=0.017;size=211;	Unsorted_J2
Seq174;ee=0.02;size=203;	Unsorted_G47
Seq173;ee=0.0059;size=206;	Unsorted_A27
Seq171;ee=0.0059;size=209;	Luciferase17_A
Seq176;ee=0.013;size=199;	Unsorted_L26
Seq180;ee=0.0059;size=193;	GFP20_A
Seq183;ee=0.0059;size=190;	Unsorted_A75
Seq182;ee=0.0062;size=191;	Unsorted_N29
Seq185;ee=0.0059;size=187;	Unsorted_A49
Seq189;ee=0.24;size=177;	Unsorted_B45
Seq191;ee=0.013;size=176;	Unsorted_L27
Seq188;ee=0.011;size=178;	Unsorted_P33
Seq192;ee=0.0059;size=176;	GFP12_A
Seq196;ee=0.014;size=174;	Unsorted_L36
Seq198;ee=0.023;size=174;	Unsorted_J55
Seq200;ee=0.017;size=171;	Unsorted_E62
Seq201;ee=0.013;size=171;	Native_L1
Seq202;ee=0.014;size=170;	Unsorted_L71
Seq199;ee=0.014;size=172;	PE26_O
Seq203;ee=0.0062;size=169;	Unsorted_N17
Seq205;ee=0.017;size=168;	Unsorted_J41
Seq206;ee=0.34;size=166;	Unsorted_L74
Seq210;ee=0.013;size=163;	Unsorted_L46
Seq214;ee=0.0059;size=158;	PD1-Avidin21_A
Seq215;ee=0.014;size=156;	Unsorted_L75
Seq223;ee=0.012;size=147;	Unsorted_P73
Seq227;ee=0.0059;size=143;	PD1-Avidin29_A
Seq231;ee=0.0059;size=139;	CTLA-Avidin7_A
Seq230;ee=0.0059;size=140;	GFP17_A
Seq235;ee=0.0059;size=137;	GFP6_A
Seq242;ee=0.063;size=134;	Unsorted_P68
Seq250;ee=0.017;size=129;	Unsorted_B64
Seq246;ee=0.02;size=132;	Unsorted_E37
Seq251;ee=0.013;size=128;	Unsorted_L67
Seq255;ee=0.017;size=127;	Unsorted_J39
Seq258;ee=0.014;size=125;	PE48_O
Seq254;ee=0.011;size=127;	Unsorted_P25
Seq259;ee=0.015;size=124;	Unsorted_Q18
Seq261;ee=0.013;size=123;	Unsorted_L34
Seq263;ee=0.0059;size=120;	GFP25_A
Seq268;ee=0.012;size=118;	Unsorted_P38
Seq270;ee=0.012;size=114;	Unsorted_P18
Seq265;ee=0.018;size=119;	Unsorted_J69
Seq269;ee=0.011;size=118;	Unsorted_H39
Seq273;ee=0.016;size=114;	Unsorted_B60
Seq274;ee=0.12;size=113;	Unsorted_H4
Seq276;ee=0.017;size=113;	Unsorted_J16
Seq279;ee=0.018;size=112;	Unsorted_F35
Seq285;ee=0.011;size=110;	Unsorted_H29
Seq289;ee=0.012;size=108;	Unsorted_P42
Seq293;ee=0.014;size=107;	Unsorted_L65
Seq295;ee=0.015;size=106;	Unsorted_E33
Seq294;ee=0.0059;size=106;	PD1-Avidin43_A
Seq299;ee=0.015;size=105;	Unsorted_E44
Seq297;ee=0.0059;size=106;	Unsorted_A37
Seq301;ee=0.0062;size=103;	Unsorted_N73
Seq305;ee=0.019;size=102;	Unsorted_B5
Seq308;ee=0.0096;size=100;	Luciferase9_A
Seq315;ee=0.0062;size=97;	Unsorted_N54
Seq322;ee=0.0062;size=95;	VEGF15_N
Seq320;ee=0.04;size=95;	Unsorted_P7
Seq336;ee=0.0059;size=89;	GFP45_A
Seq331;ee=0.0097;size=91;	GFP2_A
Seq333;ee=0.055;size=90;	Unsorted_J22
Seq332;ee=0.014;size=90;	Unsorted_D45
Seq341;ee=0.0062;size=88;	VEGF39_N
Seq339;ee=0.0059;size=88;	Unsorted_A52
Seq349;ee=0.012;size=86;	Unsorted_P57
Seq345;ee=0.016;size=87;	Unsorted_B24
Seq359;ee=0.0062;size=83;	Unsorted_N8
Seq373;ee=0.014;size=79;	Unsorted_L9
Seq368;ee=0.0059;size=81;	Unsorted_A73
Seq377;ee=0.016;size=78;	Unsorted_B68
Seq381;ee=0.0059;size=78;	GFP15_A
Seq378;ee=0.013;size=78;	Unsorted_L39
Seq380;ee=0.012;size=78;	Unsorted_P75
Seq384;ee=0.0059;size=77;	GFP42_A
Seq391;ee=0.0062;size=76;	Unsorted_N63
Seq394;ee=0.0059;size=75;	PD1-Avidin14_A
Seq393;ee=0.016;size=76;	Unsorted_B4
Seq392;ee=0.015;size=76;	Unsorted_Q63
Seq397;ee=0.016;size=75;	Unsorted_L16
Seq403;ee=0.011;size=74;	Unsorted_P27
Seq406;ee=0.017;size=74;	Unsorted_B11
Seq407;ee=0.0062;size=73;	Unsorted_N43
Seq414;ee=0.012;size=72;	Unsorted_P8
Seq428;ee=0.012;size=68;	Unsorted_P3
Seq425;ee=0.014;size=68;	Unsorted_D52
