Seq1;ee=0.0059;size=264018;	Unsorted_A75
Seq2;ee=0.0059;size=224023;	GFP11_A
Seq3;ee=0.0059;size=62683;	GFP25_A
Seq7;ee=0.0059;size=53004;	GFP34_A
Seq6;ee=0.0059;size=56311;	GFP6_A
Seq10;ee=0.0059;size=28758;	GFP32_A
Seq8;ee=0.0059;size=36311;	GFP39_A
Seq11;ee=0.0059;size=27356;	Unsorted_A13
Seq12;ee=0.0059;size=21223;	Native_A1
Seq14;ee=0.0059;size=16493;	Unsorted_A14
Seq13;ee=0.0059;size=20408;	GFP14_A
Seq15;ee=0.0059;size=15983;	Unsorted_A57
Seq18;ee=0.0059;size=11757;	Unsorted_A65
Seq19;ee=0.012;size=9801;	Native_H1
Seq22;ee=0.0059;size=6850;	Unsorted_A72
Seq9;ee=0.0059;size=34200;	Unsorted_A59
Seq25;ee=0.015;size=5713;	Native_E1
Seq26;ee=0.0059;size=5597;	GFP4_A
Seq30;ee=0.0064;size=4842;	Unsorted_A26
Seq17;ee=0.0059;size=13136;	Unsorted_A37
Seq34;ee=0.017;size=4044;	Unsorted_F19
Seq32;ee=0.0059;size=4585;	Unsorted_A19
Seq38;ee=0.0064;size=3430;	CTLA-Avidin24_A
Seq39;ee=0.0059;size=3333;	Unsorted_A17
Seq46;ee=0.0059;size=2982;	CTLA-Avidin35_A
Seq16;ee=0.0062;size=14319;	Native_N1
Seq35;ee=0.0059;size=3588;	Unsorted_A54
Seq45;ee=0.013;size=3143;	Native_P1
Seq5;ee=0.0059;size=61874;	Unsorted_A73
Seq47;ee=0.015;size=2943;	Unsorted_E57
Seq27;ee=0.0059;size=5145;	Unsorted_A21
Seq52;ee=0.017;size=2428;	Unsorted_E15
Seq48;ee=0.0059;size=2931;	Unsorted_A33
Seq24;ee=0.0059;size=6652;	CTLA-Avidin50_A
Seq36;ee=0.0059;size=3554;	Unsorted_A24
Seq56;ee=0.0059;size=2244;	GFP38_A
Seq67;ee=0.0059;size=2095;	Unsorted_A22
Seq85;ee=0.0059;size=1557;	Unsorted_A39
Seq76;ee=0.015;size=1837;	Unsorted_E21
Seq87;ee=0.0059;size=1456;	CTLA-Avidin19_A
Seq86;ee=0.0059;size=1554;	PE49_A
Seq89;ee=0.018;size=1385;	Unsorted_F40
Seq91;ee=0.0059;size=1361;	PE10_A
Seq95;ee=0.0059;size=1302;	GFP31_A
Seq115;ee=0.017;size=1057;	Unsorted_I23
Seq110;ee=0.0059;size=1117;	GFP22_A
Seq125;ee=0.0059;size=954;	Unsorted_A6
Seq136;ee=0.0059;size=842;	Unsorted_A27
Seq150;ee=0.0059;size=779;	CTLA-Avidin1_A
Seq147;ee=0.0059;size=781;	Luciferase22_A
Seq156;ee=0.013;size=764;	Unsorted_L46
Seq164;ee=0.0059;size=696;	Luciferase17_A
Seq159;ee=0.017;size=761;	Unsorted_F27
Seq167;ee=0.013;size=687;	Unsorted_L39
Seq168;ee=0.0059;size=686;	Unsorted_A4
Seq180;ee=0.0059;size=616;	Unsorted_A71
Seq182;ee=0.015;size=608;	Unsorted_E39
Seq193;ee=0.0059;size=564;	GFP8_A
Seq196;ee=0.0059;size=560;	Luciferase24_A
Seq197;ee=0.0059;size=559;	PE30_A
Seq222;ee=0.018;size=488;	Unsorted_I7
Seq217;ee=0.013;size=496;	Unsorted_L37
Seq226;ee=0.0059;size=479;	Unsorted_A67
Seq234;ee=0.0059;size=461;	PE50_A
Seq232;ee=0.0062;size=464;	Unsorted_N3
Seq250;ee=0.0059;size=438;	GFP48_A
Seq264;ee=0.0059;size=424;	Unsorted_A47
Seq268;ee=0.015;size=421;	Unsorted_Q22
Seq271;ee=0.0059;size=418;	GFP3_A
Seq280;ee=0.014;size=409;	Unsorted_L36
Seq284;ee=0.0059;size=399;	GFP23_A
Seq289;ee=0.0059;size=387;	GFP5_A
Seq305;ee=0.017;size=372;	Unsorted_I52
Seq309;ee=0.014;size=368;	Native_L1
Seq307;ee=0.0059;size=369;	Unsorted_A53
Seq323;ee=0.0059;size=348;	GFP9_A
Seq325;ee=0.015;size=348;	Unsorted_E1
Seq329;ee=0.0059;size=345;	GFP15_A
Seq341;ee=0.018;size=333;	Unsorted_F1
Seq351;ee=0.0059;size=324;	Luciferase7_A
Seq361;ee=0.013;size=317;	Unsorted_L9
Seq373;ee=0.013;size=301;	Unsorted_L27
Seq382;ee=0.024;size=296;	Unsorted_C1
Seq412;ee=0.0059;size=278;	Unsorted_A50
Seq433;ee=0.0059;size=264;	GFP43_A
Seq428;ee=0.018;size=268;	Unsorted_K27
Seq431;ee=0.017;size=266;	Unsorted_I10
Seq437;ee=0.017;size=263;	Unsorted_F31
Seq439;ee=0.0059;size=260;	PD1-Avidin21_A
Seq442;ee=0.016;size=259;	Unsorted_E66
Seq453;ee=0.1;size=256;	Unsorted_C51
Seq460;ee=0.0059;size=253;	Unsorted_A44
Seq470;ee=0.0059;size=247;	GFP20_A
Seq467;ee=0.018;size=248;	Unsorted_F57
Seq471;ee=0.017;size=246;	Unsorted_I12
Seq485;ee=0.0059;size=236;	Unsorted_A1
Seq494;ee=0.017;size=232;	Unsorted_I70
Seq510;ee=0.38;size=225;	Unsorted_L17
Seq506;ee=0.0059;size=226;	GFP28_A
Seq528;ee=0.017;size=221;	Unsorted_I40
Seq539;ee=0.022;size=215;	Unsorted_C73
Seq544;ee=0.017;size=213;	Unsorted_F42
Seq561;ee=0.0059;size=207;	PE7_A
Seq560;ee=0.013;size=207;	Unsorted_L71
Seq562;ee=0.0059;size=207;	GFP17_A
Seq572;ee=0.013;size=203;	Unsorted_L11
Seq574;ee=0.0059;size=201;	Unsorted_A55
Seq580;ee=0.015;size=198;	Unsorted_E48
Seq590;ee=0.0059;size=196;	GFP45_A
Seq586;ee=0.0059;size=197;	GFP50_A
Seq599;ee=0.0059;size=193;	PD1-Avidin20_A
Seq602;ee=0.023;size=193;	Unsorted_C26
Seq619;ee=0.0059;size=189;	GFP35_A
Seq642;ee=0.018;size=184;	Unsorted_F4
Seq674;ee=0.0059;size=176;	Unsorted_A12
Seq679;ee=0.013;size=174;	Unsorted_L13
Seq697;ee=0.013;size=169;	Unsorted_L15
Seq706;ee=0.022;size=167;	Unsorted_C2
Seq721;ee=0.014;size=164;	Unsorted_L58
Seq752;ee=0.0097;size=156;	Unsorted_M64
Seq762;ee=0.0059;size=153;	GFP2_A
Seq767;ee=0.0059;size=152;	Unsorted_A36
Seq778;ee=0.0059;size=149;	Unsorted_A62
Seq795;ee=0.0059;size=147;	PD1-Avidin44_A
Seq803;ee=0.0059;size=145;	PD1-Avidin18_A
Seq838;ee=0.013;size=140;	Unsorted_L51
Seq840;ee=0.0059;size=140;	Unsorted_A70
Seq849;ee=0.014;size=139;	Unsorted_L12
Seq857;ee=0.0059;size=138;	Unsorted_A61
Seq866;ee=0.0059;size=136;	Unsorted_A2
Seq913;ee=0.014;size=129;	Unsorted_L20
Seq924;ee=0.3;size=128;	Unsorted_B31
Seq922;ee=0.013;size=128;	Unsorted_L22
Seq948;ee=0.017;size=125;	Unsorted_F67
Seq982;ee=0.0059;size=122;	Luciferase9_A
Seq995;ee=0.016;size=121;	Unsorted_L2
Seq997;ee=0.015;size=121;	Unsorted_E49
Seq1007;ee=0.0062;size=119;	VEGF15_N
Seq1044;ee=0.017;size=115;	Unsorted_I64
Seq1095;ee=0.017;size=110;	Unsorted_I63
Seq1137;ee=0.0059;size=105;	CTLA-Avidin7_A
Seq1140;ee=0.0059;size=105;	Unsorted_A23
Seq1146;ee=0.023;size=105;	Unsorted_C32
Seq1148;ee=0.014;size=104;	Unsorted_L19
Seq1154;ee=0.0059;size=103;	PD1-Avidin43_A
Seq1157;ee=0.016;size=103;	Unsorted_E29
Seq1166;ee=0.0062;size=103;	Unsorted_N16
Seq1173;ee=0.013;size=102;	Unsorted_L34
Seq1176;ee=0.0059;size=102;	Unsorted_A30
Seq1192;ee=0.0062;size=101;	Unsorted_N4
Seq1222;ee=0.011;size=98;	Unsorted_H2
Seq1236;ee=0.022;size=96;	Unsorted_K64
Seq1235;ee=0.12;size=96;	Unsorted_F16
Seq1246;ee=0.014;size=95;	Unsorted_L5
Seq1250;ee=0.0062;size=95;	Unsorted_N1
Seq1271;ee=0.0059;size=93;	Unsorted_A16
Seq1269;ee=0.017;size=94;	Unsorted_I57
Seq1276;ee=0.014;size=93;	Unsorted_D49
Seq1316;ee=0.0059;size=90;	Unsorted_A51
Seq1323;ee=0.0059;size=89;	Unsorted_A64
Seq1335;ee=0.0062;size=89;	VEGF39_N
Seq1342;ee=0.022;size=88;	Unsorted_C64
Seq1345;ee=0.0088;size=88;	Unsorted_M30
Seq1385;ee=0.013;size=85;	Unsorted_L42
Seq1394;ee=0.018;size=85;	Unsorted_J67
Seq1408;ee=0.014;size=84;	Unsorted_L63
Seq1409;ee=0.0062;size=84;	Unsorted_N62
Seq1439;ee=0.018;size=82;	Unsorted_K5
Seq1449;ee=0.026;size=81;	Unsorted_C14
Seq1448;ee=0.0059;size=82;	PD1-Avidin23_A
Seq1453;ee=0.0059;size=81;	PD1-Avidin46_A
Seq1472;ee=0.017;size=81;	Unsorted_I16
Seq1512;ee=0.018;size=79;	Unsorted_L10
Seq1559;ee=0.0059;size=76;	Unsorted_A56
Seq1570;ee=0.0062;size=75;	Unsorted_N6
Seq1569;ee=0.0059;size=75;	CTLA-Avidin12_A
Seq1594;ee=0.044;size=74;	CTLA-Tris-Carb7_K
Seq1617;ee=0.013;size=73;	Unsorted_L56
Seq1626;ee=0.0062;size=73;	Unsorted_N21
Seq1624;ee=0.051;size=73;	Unsorted_I6
Seq1635;ee=0.0059;size=72;	Unsorted_A38
Seq1636;ee=0.015;size=72;	Unsorted_E34
Seq1708;ee=0.013;size=69;	Unsorted_L14
Seq1729;ee=0.013;size=68;	Unsorted_L48
Seq1769;ee=0.0059;size=66;	CTLA-Avidin38_A
Seq1776;ee=0.0059;size=66;	PD1-Avidin40_A
Seq1793;ee=0.057;size=65;	Unsorted_I27
Seq1807;ee=0.0059;size=65;	GFP37_A
Seq1825;ee=0.0059;size=64;	Unsorted_A45
Seq1821;ee=0.0059;size=64;	PD1-Avidin1_A
Seq1840;ee=0.041;size=64;	Unsorted_E65
Seq1877;ee=0.017;size=63;	Unsorted_I22
Seq1882;ee=0.013;size=62;	Unsorted_L18
Seq1904;ee=0.017;size=62;	Unsorted_J49
Seq1919;ee=0.0059;size=61;	Unsorted_A31
Seq1930;ee=0.0059;size=61;	Unsorted_A32
Seq1947;ee=0.0059;size=60;	PD1-Avidin29_A
Seq1948;ee=0.015;size=60;	Unsorted_E64
Seq1944;ee=0.013;size=60;	Unsorted_L57
Seq1983;ee=0.0062;size=58;	Unsorted_N29
Seq1981;ee=0.0059;size=59;	PD1-Avidin2_A
Seq1982;ee=0.0059;size=58;	PE3_A
Seq1999;ee=0.0059;size=58;	Unsorted_A52
Seq2004;ee=0.015;size=58;	Unsorted_Q25
Seq2038;ee=0.0062;size=57;	Unsorted_N27
Seq2048;ee=0.017;size=57;	Unsorted_I13
Seq2061;ee=0.017;size=56;	Unsorted_F14
Seq2062;ee=0.018;size=56;	Unsorted_I49
Seq2073;ee=0.013;size=55;	Unsorted_L28
Seq2096;ee=0.0059;size=55;	GFP42_A
Seq2130;ee=0.0059;size=54;	Unsorted_A43
Seq2155;ee=0.017;size=53;	Unsorted_I73
Seq2200;ee=0.018;size=52;	Unsorted_F7
Seq2203;ee=0.0062;size=52;	Unsorted_N36
Seq2208;ee=0.013;size=51;	Unsorted_L16
Seq2215;ee=0.018;size=51;	Unsorted_I60
Seq2231;ee=0.014;size=51;	Unsorted_L24
Seq2246;ee=0.0059;size=50;	Unsorted_A29
Seq2247;ee=0.0062;size=50;	Luciferase43_N
Seq2248;ee=0.015;size=50;	Unsorted_Q27
Seq2261;ee=0.014;size=50;	Unsorted_D48
Seq2283;ee=0.015;size=49;	Unsorted_Q59
Seq2330;ee=0.017;size=48;	Unsorted_F5
Seq2370;ee=0.015;size=47;	Unsorted_E50
Seq2436;ee=0.086;size=45;	Unsorted_A63
Seq2433;ee=0.015;size=45;	Unsorted_Q66
Seq2443;ee=0.013;size=45;	Unsorted_L38
Seq2452;ee=0.015;size=45;	Unsorted_E11
Seq2469;ee=0.0059;size=45;	Unsorted_A8
Seq2478;ee=0.0059;size=44;	PE25_A
Seq2500;ee=0.0059;size=44;	CTLA-Avidin47_A
Seq2519;ee=0.23;size=44;	Unsorted_F21
Seq2541;ee=0.02;size=43;	Unsorted_F44
Seq2545;ee=0.0059;size=43;	PE38_A
Seq2582;ee=0.017;size=43;	Unsorted_J23
Seq2606;ee=0.017;size=42;	Unsorted_F58
Seq2696;ee=0.017;size=41;	Unsorted_I56
Seq2746;ee=0.0059;size=40;	GFP47_A
Seq2745;ee=0.0062;size=40;	VEGF21_N
Seq2800;ee=0.015;size=39;	Unsorted_Q52
Seq2818;ee=0.017;size=38;	Unsorted_K47
